order_book_id,date,low,num_trades,high,open,close,volume,total_turnover
000906.XSHG,2016-11-30,4058.15,0.0,4097.0274,4089.4509999999996,4069.9228,26008699100.0,282036184409.6
000906.XSHG,2016-12-01,4076.2129999999997,0.0,4107.3747,4076.2129999999997,4098.9363,25798927000.0,287300279454.3
000906.XSHG,2016-12-02,4042.2658,0.0,4095.7492,4093.4653,4050.8019,27745300400.0,294945373435.9
000906.XSHG,2016-12-05,3984.9052,0.0,4023.5856,3995.2851,3996.1528,24767417600.0,265798765715.4
000906.XSHG,2016-12-06,3986.1051,0.0,4007.5726,3995.4388,3988.7304,16753828800.0,187349405592.2
000906.XSHG,2016-12-07,3976.8496,0.0,4014.4354,3988.4801,4014.4354,17375151700.0,183101883618.4
000906.XSHG,2016-12-08,4000.6218,0.0,4021.9055,4020.0219,4004.3086,17437368500.0,186778112096.5
000906.XSHG,2016-12-09,3995.7294,0.0,4035.7648,3998.5701,4020.9332,20952159900.0,224175533993.0
000906.XSHG,2016-12-12,3900.2061,0.0,4023.5243,4017.1707,3904.0124,28220452900.0,306626783816.5
000906.XSHG,2016-12-13,3862.3114,0.0,3917.64,3889.4174,3905.9887,18631182500.0,200400207880.8
000906.XSHG,2016-12-14,3874.6378,0.0,3915.6162,3899.7699,3877.7863,19298532700.0,207247920577.1
000906.XSHG,2016-12-15,3836.1501,0.0,3882.8232,3861.2983,3854.1067,17969363300.0,196717641860.1
000906.XSHG,2016-12-16,3844.7056,0.0,3875.8037,3849.7966,3865.6201,15297959800.0,169443051967.9
000906.XSHG,2016-12-19,3846.2249,0.0,3865.4669,3862.8813,3852.2262,14421983600.0,156276256571.7
000906.XSHG,2016-12-20,3811.8124,0.0,3851.3711,3850.5512,3832.4236,14849024900.0,154071934579.9
000906.XSHG,2016-12-21,3838.1209,0.0,3866.6457,3838.1209,3864.8807,17188786500.0,176800035502.4
000906.XSHG,2016-12-22,3847.2655,0.0,3866.6747,3860.9440000000004,3861.4969,15189445700.0,157043094034.8
000906.XSHG,2016-12-23,3821.6907,0.0,3861.0835,3859.2115,3827.8229,15462719500.0,163794035719.5
000906.XSHG,2016-12-26,3779.987,0.0,3842.1403,3812.2204,3842.1403,14423834000.0,156357573654.9
000906.XSHG,2016-12-27,3835.3953,0.0,3850.8785,3838.9852,3836.1913,12476188300.0,136047420125.5
000906.XSHG,2016-12-28,3811.5867,0.0,3840.639,3835.6559,3821.0468,11757460100.0,126721313202.6
000906.XSHG,2016-12-29,3805.0178,0.0,3832.3078,3815.5855,3814.4799,11511606500.0,127086278518.7
000906.XSHG,2016-12-30,3811.7961,0.0,3831.0933,3818.9451,3826.4674,11866905300.0,131475639873.6
000906.XSHG,2017-01-03,3831.4687,0.0,3864.7957,3831.4687,3862.9526,13514568700.0,144915765042.5
000906.XSHG,2017-01-04,3858.8159,0.0,3898.0049,3861.7813,3897.6011,15679024900.0,176546242795.7
000906.XSHG,2017-01-05,3891.8294,0.0,3903.9675,3897.0589,3898.0233,14978156100.0,163457130562.2
000906.XSHG,2017-01-06,3875.9505,0.0,3899.2884,3897.1878,3876.6682,15236158600.0,164795259192.3
000906.XSHG,2017-01-09,3871.4675,0.0,3898.6418,3873.975,3897.8309,14768697300.0,162226473423.3
000906.XSHG,2017-01-10,3887.0951,0.0,3904.74,3895.5136,3889.3386,15202984400.0,159256108013.3
000906.XSHG,2017-01-11,3858.678,0.0,3897.7225,3885.1006,3858.7459999999996,15391479600.0,155082348030.9
000906.XSHG,2017-01-12,3832.2540000000004,0.0,3865.9196,3856.1203,3834.2666,13467276900.0,132291363248.9
000906.XSHG,2017-01-13,3815.9948,0.0,3850.7522,3834.5294,3821.8074,13779207300.0,143001008681.5
000906.XSHG,2017-01-16,3717.8641,0.0,3815.2155,3815.2155,3791.5195,23673748300.0,235410929599.9
000906.XSHG,2017-01-17,3756.0825,0.0,3806.6122,3775.704,3806.4174,11999422600.0,128773411457.4
000906.XSHG,2017-01-18,3795.7712,0.0,3829.2157,3801.2455,3814.4765,11676540700.0,124085263238.7
000906.XSHG,2017-01-19,3796.4246,0.0,3821.1639,3805.1269,3801.7563,11057942500.0,109723809542.0
000906.XSHG,2017-01-20,3798.1782,0.0,3840.9984,3798.7652,3836.8226,11101781600.0,119844410470.0
000906.XSHG,2017-01-23,3841.6485,0.0,3868.3559999999998,3841.7402,3853.4507,12594723400.0,129220072913.1
000906.XSHG,2017-01-24,3843.7967,0.0,3860.0132,3851.8949,3852.4867,11632202900.0,115620779892.9
000906.XSHG,2017-01-25,3844.5111,0.0,3865.3518,3848.6701,3864.3777,10135121900.0,106223580812.1
000906.XSHG,2017-01-26,3866.9429,0.0,3887.2793,3866.9429,3882.2192,10585912400.0,108433705292.3
000906.XSHG,2017-02-03,3856.0570000000002,0.0,3887.2248,3885.3119,3860.1788,9073035200.0,95043043129.4
000906.XSHG,2017-02-06,3853.5149,0.0,3881.5904,3863.0040000000004,3876.7815,11427701700.0,123442911709.2
000906.XSHG,2017-02-07,3855.2879,0.0,3881.2556,3874.6952,3870.0857,11468269400.0,123708981889.3
000906.XSHG,2017-02-08,3848.6009,0.0,3891.2201,3865.5602,3890.8671,12928799800.0,140611877814.6
000906.XSHG,2017-02-09,3887.1789,0.0,3915.9153,3889.2461,3908.6416,17028084400.0,177037944563.6
000906.XSHG,2017-02-10,3908.179,0.0,3933.094,3910.0071,3923.6471,21314585900.0,209111365680.7
000906.XSHG,2017-02-13,3927.2694,0.0,3950.7004,3927.2694,3948.0537,20390959200.0,209958076007.0
000906.XSHG,2017-02-14,3934.3947,0.0,3951.8915,3949.3669,3948.6303,17087809500.0,174416351651.3
000906.XSHG,2017-02-15,3919.9912,0.0,3958.9673,3946.968,3925.655,21171994500.0,209398429181.2
000906.XSHG,2017-02-16,3922.2419,0.0,3950.1354,3925.1312,3949.9365,18335154200.0,177595284764.9
000906.XSHG,2017-02-17,3922.2371,0.0,3964.4487,3951.5154,3924.6057,19367998800.0,198738865739.3
000906.XSHG,2017-02-20,3924.782,0.0,3980.0951,3924.782,3979.3065,20675549800.0,215007207890.4
000906.XSHG,2017-02-21,3980.2745,0.0,3998.3946,3983.2713,3997.599,19373891000.0,206897462971.0
000906.XSHG,2017-02-22,3990.2996,0.0,4010.6994,3997.5958,4010.4981,19034163500.0,204830192963.7
000906.XSHG,2017-02-23,3979.4631,0.0,4014.3520000000003,4008.071,3997.1538,18890300800.0,205833162609.9
000906.XSHG,2017-02-24,3977.2683,0.0,3998.0353,3992.1903,3997.9792,17179326000.0,185301380198.9
000906.XSHG,2017-02-27,3961.1621,0.0,3997.7381,3995.8142,3966.1079999999997,17091717000.0,187842689664.0
000906.XSHG,2017-02-28,3961.5627,0.0,3982.0552,3965.2749,3976.3278,13824638600.0,153149513860.9
000906.XSHG,2017-03-01,3971.9225,0.0,3998.7462,3975.0092,3983.9333,17574002500.0,192495434496.6
000906.XSHG,2017-03-02,3957.6384,0.0,3994.4814,3989.5682,3958.9899,16196224900.0,181969109417.1
000906.XSHG,2017-03-03,3934.5170000000003,0.0,3957.0367,3947.3867,3956.4593,14624790500.0,168901207959.9
000906.XSHG,2017-03-06,3955.7496,0.0,3983.7763,3956.8345,3983.3318,15034855400.0,179031704636.9
000906.XSHG,2017-03-07,3973.3887,0.0,3990.5554,3983.1669,3990.4572,14886963500.0,176814407949.8
000906.XSHG,2017-03-08,3972.1118,0.0,3990.95,3988.4475,3981.4539,14265505900.0,164174374823.6
000906.XSHG,2017-03-09,3940.7912,0.0,3974.5726,3974.4401,3953.2559,14880936400.0,164039378557.0
000906.XSHG,2017-03-10,3950.3733,0.0,3964.982,3950.3733,3955.5836,12637612700.0,152161129819.1
000906.XSHG,2017-03-13,3937.0139,0.0,3991.0177,3953.1719,3991.0177,15659655300.0,189690251992.2
000906.XSHG,2017-03-14,3978.738,0.0,3997.9559999999997,3989.938,3987.2456,13734995800.0,169865677406.8
000906.XSHG,2017-03-15,3974.1862,0.0,3993.3482,3982.3035,3991.5179,13485503900.0,163160263947.4
000906.XSHG,2017-03-16,4001.0228,0.0,4022.9623,4001.0228,4016.4604,17498853300.0,209504824708.3
000906.XSHG,2017-03-17,3972.5194,0.0,4023.1137,4019.5820000000003,3976.5538,17681926600.0,212280069018.8
000906.XSHG,2017-03-20,3957.8455,0.0,3985.2298,3979.4202,3982.3979,15037910500.0,180133368875.6
000906.XSHG,2017-03-21,3977.3026,0.0,3999.4659,3981.8725,3999.1716,14670289800.0,189312226146.5
